City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
151,Lebu,CL,2022-05-07 22:03:55,-37.6167,-73.65,54.55,87,6,5.48,clear sky
152,Ullapool,GB,2022-05-07 22:03:56,57.8987,-5.1604,50.34,74,97,3.85,overcast clouds
153,Paita,PE,2022-05-07 21:59:41,-5.0892,-81.1144,71.29,75,4,18.32,clear sky
154,Lompoc,US,2022-05-07 22:01:44,34.6391,-120.4579,77.56,64,3,10.0,clear sky
155,Ponta Do Sol,PT,2022-05-07 21:54:14,32.6667,-17.1,63.23,73,45,7.2,scattered clouds
156,Cap Malheureux,MU,2022-05-07 21:54:15,-19.9842,57.6142,77.47,74,6,5.01,clear sky
157,Maridi,SS,2022-05-07 22:03:58,4.9158,29.4742,67.96,90,89,0.38,light rain
158,Pangoa,PE,2022-05-07 22:03:58,-12.1167,-73.0,75.06,77,82,0.81,broken clouds
159,Sao Jose Da Coroa Grande,BR,2022-05-07 21:54:27,-8.8978,-35.1478,77.67,81,73,5.39,broken clouds
160,Wewak,PG,2022-05-07 22:03:59,-3.5534,143.6268,79.83,90,57,5.88,broken clouds
161,Tagudin,PH,2022-05-07 22:04:00,16.9355,120.4442,80.8,71,100,3.62,overcast clouds
162,Pavlodar,KZ,2022-05-07 22:04:00,52.3,76.95,30.0,64,0,2.24,clear sky
163,Aklavik,CA,2022-05-07 22:04:01,68.2191,-135.0107,35.31,76,82,8.99,broken clouds
164,Tiksi,RU,2022-05-07 22:04:01,71.6872,128.8694,10.42,92,15,5.93,few clouds
165,Isangel,VU,2022-05-07 21:55:46,-19.55,169.2667,77.11,69,7,5.75,clear sky
166,Mackay,AU,2022-05-07 22:04:02,-21.15,149.2,71.69,84,100,15.64,overcast clouds
167,Port Lavaca,US,2022-05-07 22:04:03,28.615,-96.6261,96.31,70,40,16.11,scattered clouds
168,Hay River,CA,2022-05-07 21:59:12,60.8156,-115.7999,35.58,93,100,16.11,light rain
169,Ahipara,NZ,2022-05-07 22:04:04,-35.1667,173.1667,64.04,69,34,2.48,scattered clouds
170,Aksaray,TR,2022-05-07 22:04:04,38.3726,34.0254,45.19,81,34,4.18,scattered clouds
171,Omsukchan,RU,2022-05-07 22:04:05,62.5333,155.8,26.85,89,100,4.56,light snow
172,Esperance,AU,2022-05-07 22:04:06,-33.8667,121.9,56.97,48,98,18.05,overcast clouds
173,Urengoy,RU,2022-05-07 22:04:06,65.9667,78.3667,-1.05,99,8,4.74,clear sky
174,Santa Isabel,BR,2022-05-07 22:04:07,-23.3156,-46.2214,57.97,92,89,4.29,overcast clouds
175,Peniche,PT,2022-05-07 21:55:54,39.3558,-9.3811,60.12,83,100,9.4,overcast clouds
176,Ayan,RU,2022-05-07 22:04:08,56.45,138.1667,37.69,78,3,8.99,clear sky
177,Saint-Georges,GD,2022-05-07 22:04:09,12.0564,-61.7485,79.77,76,97,10.63,overcast clouds
178,Watsa,CD,2022-05-07 22:04:09,3.0372,29.5355,63.5,96,81,2.68,broken clouds
179,Kansanshi,ZM,2022-05-07 22:05:10,-12.0951,26.4273,61.75,80,57,3.74,broken clouds
180,Gat,IL,2022-05-07 22:05:11,31.61,34.7642,63.39,71,52,4.07,broken clouds
181,Caravelas,BR,2022-05-07 22:05:11,-17.7125,-39.2481,74.19,89,94,11.1,overcast clouds
182,Kodiak,US,2022-05-07 22:05:12,57.79,-152.4072,56.71,38,0,17.27,clear sky
183,Terney,RU,2022-05-07 22:05:12,45.0503,136.6092,44.87,63,51,9.06,broken clouds
184,Kaohsiung,TW,2022-05-07 22:05:13,22.6163,120.3133,79.03,88,100,6.89,overcast clouds
185,Sabzevar,IR,2022-05-07 22:05:14,36.2126,57.6819,75.07,35,100,2.59,overcast clouds
186,Leningradskiy,RU,2022-05-07 22:05:14,69.3833,178.4167,26.24,85,56,2.15,broken clouds
187,Qaanaaq,GL,2022-05-07 22:05:15,77.484,-69.3632,17.65,82,100,3.27,overcast clouds
188,Pangnirtung,CA,2022-05-07 22:05:15,66.1451,-65.7125,22.86,83,99,1.88,overcast clouds
189,Andra,RU,2022-05-07 22:05:16,62.5147,65.8878,35.29,97,100,3.04,overcast clouds
190,Khatanga,RU,2022-05-07 22:05:17,71.9667,102.5,-1.21,100,98,6.89,overcast clouds
191,Klaksvik,FO,2022-05-07 22:05:18,62.2266,-6.589,45.52,79,99,10.42,overcast clouds
192,Ballitoville,ZA,2022-05-07 22:05:18,-29.539,31.2144,69.24,82,66,4.99,broken clouds
193,Hargeysa,SO,2022-05-07 22:00:20,9.56,44.065,72.72,67,28,5.39,scattered clouds
194,Adrar,MR,2022-05-07 22:05:19,20.5022,-10.0711,93.18,12,76,10.49,broken clouds
195,Lavrentiya,RU,2022-05-07 22:05:20,65.5833,-171.0,31.55,87,80,7.16,broken clouds
196,Ketchikan,US,2022-05-07 22:05:20,55.3422,-131.6461,52.27,46,40,10.36,scattered clouds
197,Namatanai,PG,2022-05-07 22:05:21,-3.6667,152.4333,82.65,77,50,9.35,light rain
198,Great Falls,US,2022-05-07 22:02:15,47.5002,-111.3008,58.66,35,20,26.46,few clouds
199,Upington,ZA,2022-05-07 22:05:22,-28.4478,21.2561,53.6,56,3,11.27,clear sky
200,Airai,TL,2022-05-07 22:05:22,-8.9266,125.4092,60.06,95,57,4.85,broken clouds
201,Kavieng,PG,2022-05-07 21:55:44,-2.5744,150.7967,84.11,71,59,17.45,broken clouds
202,Sitka,US,2022-05-07 22:05:23,57.0531,-135.33,49.89,57,40,9.22,scattered clouds
203,Russell,US,2022-05-07 22:05:24,32.3502,-85.1999,78.4,46,20,11.5,few clouds
204,Vao,NC,2022-05-07 22:05:24,-22.6667,167.4833,73.45,62,68,19.17,broken clouds
205,Novyy Urengoy,RU,2022-05-07 22:05:25,66.0833,76.6333,1.69,98,58,6.11,broken clouds
206,Planaltina,BR,2022-05-07 22:00:32,-15.4528,-47.6142,72.5,62,99,4.09,overcast clouds
207,Kaluga,RU,2022-05-07 22:05:26,54.5,35.5,44.67,88,90,7.61,overcast clouds
208,Korcula,HR,2022-05-07 22:05:27,42.9622,17.1369,62.53,75,67,9.53,broken clouds
209,Lekoni,GA,2022-05-07 22:05:27,-1.5843,14.2591,71.42,93,98,1.92,overcast clouds
210,Bredasdorp,ZA,2022-05-07 22:05:28,-34.5322,20.0403,54.75,89,38,1.16,scattered clouds
